topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-12-05,Stable,0.08619999885559082,0.04015481472015381,0.13230957090854645,Moderate Drift,0.6075949367088608,0.6072174426604806,0.3924
Climate Change,2025-12-05,Stable,0.10170000046491623,0.07054716348648071,0.13276007771492004,Stable,0.5569620253164557,0.5548200206040453,0.443
Cryptocurrency,2025-12-05,Stable,0.08259999752044678,0.03711587190628052,0.12813341617584229,Moderate Drift,0.6835443037974683,0.6825275786691068,0.3165
Elections,2025-12-05,Stable,0.1459999978542328,0.15808230638504028,0.13384932279586792,Moderate Drift,0.7088607594936709,0.7062213232838029,0.2911
Electric Vehicles,2025-12-05,Stable,0.08309999853372574,0.03436928987503052,0.13175426423549652,Stable,0.5949367088607594,0.5949367088607594,0.4051
Space Exploration,2025-12-05,Stable,0.10300000011920929,0.07195669412612915,0.13396379351615906,Stable,0.4936708860759494,0.49269592629304043,0.5063
