topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-11-11,Stable,0.1005999967455864,0.06998473405838013,0.13121476769447327,Moderate Drift,0.6455696202531646,0.6444292393659482,0.3544
Climate Change,2025-11-11,Stable,0.09130000323057175,0.05089867115020752,0.1317766308784485,Stable,0.569620253164557,0.5657279298727635,0.4304
Cryptocurrency,2025-11-11,Stable,0.0860000029206276,0.04184150695800781,0.13016068935394287,Moderate Drift,0.620253164556962,0.6147049153378267,0.3688
Elections,2025-11-11,Stable,0.11089999973773956,0.08525049686431885,0.1365162879228592,Moderate Drift,0.620253164556962,0.6195219447197803,0.3797
Electric Vehicles,2025-11-11,Stable,0.08969999849796295,0.04860585927963257,0.13072016835212708,Stable,0.5063291139240507,0.500574815106264,0.4882
Space Exploration,2025-11-11,Stable,0.10480000078678131,0.07485693693161011,0.1347564458847046,Stable,0.5949367088607594,0.5948068808828303,0.3887
