topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-02,Stable,0.08020000159740448,0.03057962656021118,0.12983039021492004,Stable,0.5443037974683544,0.54210449147158,0.4557
Climate Change,2026-01-02,Stable,0.09790000319480896,0.06151777505874634,0.13436231017112732,Stable,0.5189873417721519,0.5189873417721519,0.481
Cryptocurrency,2026-01-02,Stable,0.08900000154972076,0.0480341911315918,0.13004794716835022,Moderate Drift,0.6835443037974683,0.6829342687204514,0.3165
Elections,2026-01-02,Stable,0.11309999972581863,0.09122151136398315,0.13493652641773224,Stable,0.5443037974683544,0.5443037974683544,0.4557
Electric Vehicles,2026-01-02,Stable,0.09799999743700027,0.06302928924560547,0.1329570710659027,Stable,0.569620253164557,0.5645898405392077,0.4304
Space Exploration,2026-01-02,Stable,0.09510000050067902,0.058659911155700684,0.13152320683002472,Stable,0.5949367088607594,0.5949367088607594,0.4051
