topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-22,Stable,0.0860000029206276,0.04239839315414429,0.12959295511245728,Stable,0.5443037974683544,0.5428375934705048,0.4557
Climate Change,2026-01-22,Stable,0.09830000251531601,0.06349140405654907,0.13311119377613068,Stable,0.5569620253164557,0.5565358223586071,0.443
Cryptocurrency,2026-01-22,Stable,0.08479999750852585,0.04032415151596069,0.1293468475341797,Stable,0.569620253164557,0.5667010106957119,0.4304
Elections,2026-01-22,Stable,0.10999999940395355,0.08426016569137573,0.13577492535114288,Moderate Drift,0.6329113924050633,0.6322037517157236,0.3671
Electric Vehicles,2026-01-22,Stable,0.0917000025510788,0.050224483013153076,0.1331121176481247,Moderate Drift,0.6582278481012658,0.6571297849626353,0.3418
Space Exploration,2026-01-22,Stable,0.09539999812841415,0.057812511920928955,0.13306444883346558,Stable,0.5316455696202531,0.5284754026458859,0.4684
