topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-13,Stable,0.09390000253915787,0.0539393424987793,0.13380680978298187,Moderate Drift,0.6835443037974683,0.6820143004314609,0.3165
Climate Change,2026-01-13,Stable,0.09350000321865082,0.0551677942276001,0.13188588619232178,Stable,0.5443037974683544,0.5428375934705048,0.4557
Cryptocurrency,2026-01-13,Stable,0.12399999797344208,0.1181788444519043,0.1298762857913971,Moderate Drift,0.7341772151898734,0.7339214934151643,0.2658
Elections,2026-01-13,Stable,0.11720000207424164,0.0978538990020752,0.13655565679073334,Moderate Drift,0.6329113924050633,0.6322037517157236,0.3671
Electric Vehicles,2026-01-13,Stable,0.08579999953508377,0.03923457860946655,0.13244472444057465,Stable,0.5569620253164557,0.5569620253164557,0.443
Space Exploration,2026-01-13,Stable,0.10540000349283218,0.07628375291824341,0.13458895683288574,Stable,0.45569620253164556,0.4551725817548602,0.5443
