topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-12-30,Stable,0.08420000225305557,0.03758305311203003,0.1308746337890625,Stable,0.5822784810126582,0.5818766325095438,0.4177
Climate Change,2025-12-30,Stable,0.09459999948740005,0.058583974838256836,0.1306183934211731,Stable,0.5949367088607594,0.5929817701969601,0.4051
Cryptocurrency,2025-12-30,Stable,0.08879999816417694,0.04755401611328125,0.130048930644989,Moderate Drift,0.6835443037974683,0.6834428269027425,0.3165
Elections,2025-12-30,Stable,0.10859999805688858,0.08294743299484253,0.13429532945156097,Stable,0.5569620253164557,0.5565358223586071,0.443
Electric Vehicles,2025-12-30,Stable,0.09369999915361404,0.05373138189315796,0.1337054967880249,Stable,0.5822784810126582,0.581473234710996,0.4177
Space Exploration,2025-12-30,Stable,0.1046999990940094,0.07646715641021729,0.13287538290023804,Stable,0.5569620253164557,0.5568199576638394,0.443
