topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-23,Stable,0.09120000153779984,0.04973512887954712,0.13269492983818054,Moderate Drift,0.6962025316455697,0.6959100437106969,0.3038
Climate Change,2026-01-23,Stable,0.09049999713897705,0.04703623056411743,0.13392363488674164,Stable,0.569620253164557,0.5682355049443657,0.4304
Cryptocurrency,2026-01-23,Stable,0.10520000010728836,0.08149772882461548,0.12888839840888977,Moderate Drift,0.6329113924050633,0.6317319912561639,0.3671
Elections,2026-01-23,Stable,0.10830000042915344,0.08179807662963867,0.13475333154201508,Stable,0.5949367088607594,0.5941567410344324,0.4051
Electric Vehicles,2026-01-23,Stable,0.08550000190734863,0.038109779357910156,0.1328093260526657,Stable,0.4430379746835443,0.4419655189223445,0.557
Space Exploration,2026-01-23,Stable,0.10260000079870224,0.07206583023071289,0.1331493854522705,Stable,0.5822784810126582,0.5822784810126582,0.4177
