topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-10,Stable,0.08730000257492065,0.042356789112091064,0.13234031200408936,Moderate Drift,0.6708860759493671,0.6686537140614267,0.3291
Climate Change,2026-01-10,Stable,0.0934000015258789,0.0550045371055603,0.13183356821537018,Moderate Drift,0.6075949367088608,0.6063341975496924,0.3924
Cryptocurrency,2026-01-10,Stable,0.09030000120401382,0.05199176073074341,0.12867404520511627,Moderate Drift,0.6329113924050633,0.6322037517157236,0.3671
Elections,2026-01-10,Stable,0.10760000348091125,0.0805770754814148,0.13468623161315918,Moderate Drift,0.6075949367088608,0.6072174426604806,0.3924
Electric Vehicles,2026-01-10,Stable,0.08990000188350677,0.04721987247467041,0.13264384865760803,Stable,0.5443037974683544,0.5438650655660454,0.4557
Space Exploration,2026-01-10,Stable,0.0949999988079071,0.056831538677215576,0.13317829370498657,Moderate Drift,0.6075949367088608,0.603021006879338,0.3924
