topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-11,Stable,0.0957999974489212,0.0610198974609375,0.13060274720191956,Moderate Drift,0.6582278481012658,0.6532189743558032,0.3418
Climate Change,2026-01-11,Stable,0.09950000047683716,0.06535011529922485,0.13372592628002167,Stable,0.5443037974683544,0.5438650655660454,0.4557
Cryptocurrency,2026-01-11,Stable,0.08139999955892563,0.03544974327087402,0.127448171377182,Stable,0.5822784810126582,0.578491463841978,0.4177
Elections,2026-01-11,Stable,0.11999999731779099,0.10433393716812134,0.13556888699531555,Moderate Drift,0.6410256410256411,0.6372093023255813,0.359
Electric Vehicles,2026-01-11,Stable,0.08569999784231186,0.03822791576385498,0.13308262825012207,Stable,0.5189873417721519,0.517439681996644,0.481
Space Exploration,2026-01-11,Stable,0.09480000287294388,0.0569339394569397,0.1326749622821808,Stable,0.5316455696202531,0.5311950122076704,0.4684
