topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-11-19,Stable,0.08609999716281891,0.040869951248168945,0.13130752742290497,Moderate Drift,0.6329113924050633,0.6275314909747515,0.3671
Climate Change,2025-11-19,Stable,0.09030000120401382,0.04626339673995972,0.1343960464000702,Stable,0.569620253164557,0.5667010106957119,0.4304
Cryptocurrency,2025-11-19,Stable,0.08649999648332596,0.0455397367477417,0.12737509608268738,Moderate Drift,0.6455696202531646,0.64385904892234,0.3544
Elections,2025-11-19,Stable,0.11620000004768372,0.09730404615402222,0.13514289259910583,Moderate Drift,0.620253164556962,0.6201314508276533,0.3797
Electric Vehicles,2025-11-19,Stable,0.09269999712705612,0.050885796546936035,0.1344814896583557,Stable,0.5063291139240507,0.5018535481768833,0.4937
Space Exploration,2025-11-19,Stable,0.09969999641180038,0.06534814834594727,0.13396021723747253,Stable,0.5822784810126582,0.580936403843221,0.4177
