topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-03,Stable,0.08529999852180481,0.040390074253082275,0.13028296828269958,Stable,0.5569620253164557,0.5555386101367495,0.443
Climate Change,2026-01-03,Stable,0.09989999979734421,0.06799793243408203,0.13185694813728333,Moderate Drift,0.620253164556962,0.6198875546383711,0.3797
Cryptocurrency,2026-01-03,Stable,0.08320000022649765,0.03860205411911011,0.12783850729465485,Stable,0.5949367088607594,0.5902022028604307,0.4051
Elections,2026-01-03,Stable,0.12370000034570694,0.11148130893707275,0.13582181930541992,Moderate Drift,0.620253164556962,0.6168187616524385,0.3797
Electric Vehicles,2026-01-03,Stable,0.14560000598430634,0.1591256856918335,0.1321367472410202,Moderate Drift,0.6455696202531646,0.643165538219998,0.3544
Space Exploration,2026-01-03,Stable,0.10170000046491623,0.07064753770828247,0.13281628489494324,Stable,0.5316455696202531,0.5316455696202531,0.4684
