topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-09,Stable,0.08810000121593475,0.0444905161857605,0.13180527091026306,Moderate Drift,0.6835443037974683,0.6820143004314609,0.3165
Climate Change,2026-01-09,Stable,0.09369999915361404,0.05372828245162964,0.13368213176727295,Moderate Drift,0.6329113924050633,0.6317319912561639,0.3671
Cryptocurrency,2026-01-09,Stable,0.11379999667406082,0.09825503826141357,0.12933914363384247,Moderate Drift,0.6455696202531646,0.6444292393659482,0.3544
Elections,2026-01-09,Stable,0.10670000314712524,0.08095699548721313,0.13237684965133667,Stable,0.5443037974683544,0.544157740993184,0.4557
Electric Vehicles,2026-01-09,Stable,0.09130000323057175,0.048832833766937256,0.13371267914772034,Stable,0.5569620253164557,0.5565358223586071,0.443
Space Exploration,2026-01-09,Stable,0.10570000112056732,0.07852572202682495,0.13290703296661377,Stable,0.5822784810126582,0.5818766325095438,0.4177
