topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-08,Stable,0.08969999849796295,0.04798024892807007,0.13151884078979492,Stable,0.5822784810126582,0.5822784810126582,0.4177
Climate Change,2026-01-08,Stable,0.10279999673366547,0.07285499572753906,0.13276490569114685,Moderate Drift,0.620253164556962,0.6195219447197803,0.3797
Cryptocurrency,2026-01-08,Stable,0.093299999833107,0.05889332294464111,0.12766893208026886,Moderate Drift,0.6708860759493671,0.6702523520904763,0.3291
Elections,2026-01-08,Stable,0.11739999800920486,0.10069108009338379,0.13407501578330994,Moderate Drift,0.620253164556962,0.6195219447197803,0.3797
Electric Vehicles,2026-01-08,Stable,0.09830000251531601,0.06419205665588379,0.13244658708572388,Moderate Drift,0.6329113924050633,0.6329113924050633,0.3671
Space Exploration,2026-01-08,Stable,0.09700000286102295,0.06021749973297119,0.13378454744815826,Stable,0.5316455696202531,0.5311950122076704,0.4684
