topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-12-21,Stable,0.08739999681711197,0.04174906015396118,0.1330210268497467,Moderate Drift,0.6329113924050633,0.6327936792071813,0.3671
Climate Change,2025-12-21,Stable,0.09449999779462814,0.05520051717758179,0.13382026553153992,Stable,0.5316455696202531,0.5311950122076704,0.4684
Cryptocurrency,2025-12-21,Stable,0.0835999995470047,0.039807796478271484,0.127358078956604,Stable,0.5949367088607594,0.5948068808828303,0.4051
Elections,2025-12-21,Stable,0.10050000250339508,0.06653809547424316,0.13447561860084534,Stable,0.5063291139240507,0.5058542020567337,0.4937
Electric Vehicles,2025-12-21,Stable,0.09390000253915787,0.0548744797706604,0.13286888599395752,Moderate Drift,0.6282051282051282,0.6282662485194132,0.3718
Space Exploration,2025-12-21,Stable,0.1031000018119812,0.0736539363861084,0.13258320093154907,Stable,0.5949367088607594,0.5948068808828303,0.4051
