topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-12-16,Stable,0.09300000220537186,0.05456191301345825,0.1314489096403122,Stable,0.5443037974683544,0.5443037974683544,0.4557
Climate Change,2025-12-16,Stable,0.0917000025510788,0.05015939474105835,0.13321641087532043,Stable,0.5189873417721519,0.5180611299783884,0.481
Cryptocurrency,2025-12-16,Stable,0.09260000288486481,0.05647379159927368,0.12868908047676086,Moderate Drift,0.6455696202531646,0.6454560207724765,0.3544
Elections,2025-12-16,Stable,0.10509999841451645,0.07455658912658691,0.13570085167884827,Stable,0.5822784810126582,0.578491463841978,0.4177
Electric Vehicles,2025-12-16,Stable,0.10639999806880951,0.08033394813537598,0.13253900408744812,Moderate Drift,0.6582278481012658,0.6532189743558032,0.3418
Space Exploration,2025-12-16,Stable,0.10239999741315842,0.07154160737991333,0.13330285251140594,Stable,0.569620253164557,0.5687915373490844,0.4304
