topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-14,Stable,0.08959999680519104,0.047841429710388184,0.13137251138687134,Moderate Drift,0.6329113924050633,0.6329113924050633,0.3671
Climate Change,2026-01-14,Stable,0.10400000214576721,0.07549160718917847,0.13255134224891663,Stable,0.5063291139240507,0.5053774592039042,0.4937
Cryptocurrency,2026-01-14,Stable,0.09510000050067902,0.06082439422607422,0.12929672002792358,Moderate Drift,0.7215189873417721,0.7190004252117882,0.2785
Elections,2026-01-14,Stable,0.11479999870061874,0.0950697660446167,0.13462954759597778,Stable,0.5949367088607594,0.5941567410344324,0.4051
Electric Vehicles,2026-01-14,Stable,0.08820000290870667,0.04363936185836792,0.13282990455627441,Stable,0.5316455696202531,0.5301408164302781,0.4684
Space Exploration,2026-01-14,Stable,0.10010000318288803,0.06591403484344482,0.13438278436660767,Stable,0.4936708860759494,0.49023648317142576,0.5063
