topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-12-28,Stable,0.08889999985694885,0.048378944396972656,0.12948976457118988,Moderate Drift,0.6075949367088608,0.6040374357303431,0.3924
Climate Change,2025-12-28,Stable,0.09809999912977219,0.06353312730789185,0.13256943225860596,Stable,0.5569620253164557,0.5555386101367495,0.443
Cryptocurrency,2025-12-28,Stable,0.08429999649524689,0.0392303466796875,0.12936152517795563,Stable,0.5949367088607594,0.5949367088607594,0.4051
Elections,2025-12-28,Stable,0.12780000269412994,0.12110722064971924,0.13446731865406036,Moderate Drift,0.6835443037974683,0.6834428269027425,0.3165
Electric Vehicles,2025-12-28,Stable,0.09650000184774399,0.06004345417022705,0.13292115926742554,Moderate Drift,0.6329113924050633,0.6311365885004947,0.3671
Space Exploration,2025-12-28,Stable,0.09730000048875809,0.06165635585784912,0.13297834992408752,Stable,0.5949367088607594,0.5929817701969601,0.4051
