topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-06,Stable,0.09160000085830688,0.05129426717758179,0.131943017244339,Stable,0.569620253164557,0.569620253164557,0.4304
Climate Change,2026-01-06,Stable,0.09390000253915787,0.054878175258636475,0.13299715518951416,Moderate Drift,0.6708860759493671,0.66929768828503,0.3291
Cryptocurrency,2026-01-06,Stable,0.10130000114440918,0.07432270050048828,0.12835589051246643,Moderate Drift,0.6455696202531646,0.6454560207724765,0.3544
Elections,2026-01-06,Stable,0.1152999997138977,0.09694790840148926,0.13363006711006165,Moderate Drift,0.6582278481012658,0.6542441027658751,0.3418
Electric Vehicles,2026-01-06,Stable,0.09009999781847,0.047527968883514404,0.1327330768108368,Moderate Drift,0.6962025316455697,0.6956175557758242,0.3038
Space Exploration,2026-01-06,Stable,0.10750000178813934,0.08187198638916016,0.1332184374332428,Moderate Drift,0.620253164556962,0.6198875546383711,0.3797
