topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-12-17,Stable,0.08320000022649765,0.03567022085189819,0.13066941499710083,Moderate Drift,0.6075949367088608,0.6072174426604806,0.3924
Climate Change,2025-12-17,Stable,0.0917000025510788,0.05109912157058716,0.13221392035484314,Moderate Drift,0.6075949367088608,0.6074691053594007,0.3924
Cryptocurrency,2025-12-17,Stable,0.08489999920129776,0.04127603769302368,0.12857675552368164,Moderate Drift,0.6708860759493671,0.6698271508398091,0.3291
Elections,2025-12-17,Stable,0.10350000113248825,0.07075923681259155,0.1362396776676178,Moderate Drift,0.6075949367088608,0.6075949367088608,0.3924
Electric Vehicles,2025-12-17,Stable,0.08900000154972076,0.04680401086807251,0.13123953342437744,Stable,0.4936708860759494,0.49269592629304043,0.5063
Space Exploration,2025-12-17,Stable,0.09860000014305115,0.06498545408248901,0.1322842240333557,Stable,0.5443037974683544,0.5376458984053921,0.4557
