topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-04,Stable,0.08500000089406967,0.03899717330932617,0.1309577226638794,Stable,0.5569620253164557,0.5548200206040453,0.443
Climate Change,2026-01-04,Stable,0.10090000182390213,0.06886672973632812,0.1328347772359848,Stable,0.5569620253164557,0.5555386101367495,0.443
Cryptocurrency,2026-01-04,Stable,0.0828000009059906,0.035498976707458496,0.130128413438797,Moderate Drift,0.620253164556962,0.6158145651816538,0.3797
Elections,2026-01-04,Stable,0.13210000097751617,0.12933003902435303,0.13480672240257263,Moderate Drift,0.6835443037974683,0.6835443037974683,0.3165
Electric Vehicles,2026-01-04,Stable,0.09640000015497208,0.06075924634933472,0.1319732367992401,Stable,0.5822784810126582,0.5794510347922766,0.4177
Space Exploration,2026-01-04,Stable,0.10159999877214432,0.06956040859222412,0.13362406194210052,Stable,0.5569620253164557,0.556107976208632,0.443
