topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-02-02,Stable,0.14980000257492065,0.168737530708313,0.13081234693527222,Moderate Drift,0.7341772151898734,0.7341772151898734,0.2658
Climate Change,2026-02-02,Stable,0.09210000187158585,0.05053514242172241,0.13373318314552307,Stable,0.5569620253164557,0.5569620253164557,0.443
Cryptocurrency,2026-02-02,Stable,0.09099999815225601,0.05366086959838867,0.1282726377248764,Moderate Drift,0.6455696202531646,0.6454560207724765,0.3544
Elections,2026-02-02,Stable,0.10429999977350235,0.07313764095306396,0.1355581283569336,Stable,0.5569620253164557,0.5555386101367495,0.443
Electric Vehicles,2026-02-02,Stable,0.0843999981880188,0.03636515140533447,0.13249334692955017,Stable,0.5443037974683544,0.5443037974683544,0.4557
Space Exploration,2026-02-02,Stable,0.09740000218153,0.061731576919555664,0.13312721252441406,Stable,0.5949367088607594,0.5929817701969601,0.4051
