topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-11-25,Stable,0.08739999681711197,0.04412108659744263,0.13073880970478058,Moderate Drift,0.6329113924050633,0.6317319912561639,0.3671
Climate Change,2025-11-25,Stable,0.09260000288486481,0.052870094776153564,0.13235411047935486,Moderate Drift,0.620253164556962,0.6168187616524385,0.3797
Cryptocurrency,2025-11-25,Stable,0.08590000122785568,0.04347199201583862,0.12837934494018555,Stable,0.569620253164557,0.569620253164557,0.4304
Elections,2025-11-25,Stable,0.1062999963760376,0.07801252603530884,0.13463720679283142,Stable,0.5063291139240507,0.5047430227238066,0.4937
Electric Vehicles,2025-11-25,Stable,0.08560000360012054,0.037178993225097656,0.13395395874977112,Stable,0.5569620253164557,0.5555386101367495,0.443
Space Exploration,2025-11-25,Stable,0.14139999449253082,0.14874321222305298,0.13414940237998962,Stable,0.5949367088607594,0.5921891865371407,0.4051
