topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-11-17,Stable,0.09390000253915787,0.05772441625595093,0.13000892102718353,Stable,0.569620253164557,0.5667010106957119,0.4304
Climate Change,2025-11-17,Stable,0.08780000358819962,0.04335969686508179,0.13216760754585266,Stable,0.4810126582278481,0.4793452290173352,0.519
Cryptocurrency,2025-11-17,Stable,0.0851999968290329,0.04259288311004639,0.12771126627922058,Stable,0.5443037974683544,0.5434263336637364,0.4557
Elections,2025-11-17,Stable,0.11159999668598175,0.0886833667755127,0.13443037867546082,Moderate Drift,0.6410256410256411,0.6410256410256411,0.359
Electric Vehicles,2025-11-17,Stable,0.09139999747276306,0.0500873327255249,0.1326548457145691,Stable,0.5063291139240507,0.503942308673079,0.4937
Space Exploration,2025-11-17,Stable,0.10170000046491623,0.07084858417510986,0.1325121968984604,Moderate Drift,0.6075949367088608,0.603021006879338,0.3924
