topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-12-13,Stable,0.0868000015616417,0.040754497051239014,0.1329241394996643,Moderate Drift,0.620253164556962,0.6195219447197803,0.3797
Climate Change,2025-12-13,Stable,0.018200000748038292,0.008487284183502197,0.027955342084169388,Stable,0.16455696202531644,0.16428919182083737,0.8354
Cryptocurrency,2025-12-13,Stable,0.08579999953508377,0.04208540916442871,0.1295216679573059,Moderate Drift,0.6455696202531646,0.6455696202531646,0.3544
Elections,2025-12-13,Stable,0.10140000283718109,0.06859999895095825,0.13424775004386902,Moderate Drift,0.6075949367088608,0.6068384932133597,0.3924
Electric Vehicles,2025-12-13,Stable,0.0860000029206276,0.039485275745391846,0.13259416818618774,Stable,0.5189873417721519,0.5188331710483609,0.481
Space Exploration,2025-12-13,Stable,0.09610000252723694,0.05858612060546875,0.13354822993278503,Stable,0.5949367088607594,0.5949367088607594,0.4051
