topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-11-24,Stable,0.08669999986886978,0.041547954082489014,0.13191500306129456,Moderate Drift,0.6329113924050633,0.629583407618708,0.3671
Climate Change,2025-11-24,Stable,0.0892999991774559,0.0462457537651062,0.13233649730682373,Stable,0.5063291139240507,0.503942308673079,0.4937
Cryptocurrency,2025-11-24,Stable,0.08389999717473984,0.03887540102005005,0.12898264825344086,Stable,0.5569620253164557,0.5565358223586071,0.443
Elections,2025-11-24,Stable,0.11100000143051147,0.08806222677230835,0.13389694690704346,Moderate Drift,0.6455696202531646,0.6379250434350956,0.3544
Electric Vehicles,2025-11-24,Stable,0.08209999650716782,0.03168368339538574,0.13258874416351318,Stable,0.4810126582278481,0.4793452290173352,0.519
Space Exploration,2025-11-24,Stable,0.10729999840259552,0.08203965425491333,0.1326080560684204,Stable,0.5949367088607594,0.5941567410344324,0.4051
