topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-31,Stable,0.0868000015616417,0.04125326871871948,0.13238997757434845,Stable,0.5822784810126582,0.5794510347922766,0.4177
Climate Change,2026-01-31,Stable,0.09560000151395798,0.058507680892944336,0.13279129564762115,Stable,0.569620253164557,0.5675431308342701,0.4304
Cryptocurrency,2026-01-31,Stable,0.1071000024676323,0.08440083265304565,0.1298374980688095,Stable,0.5822784810126582,0.58214453151162,0.4177
Elections,2026-01-31,Stable,0.10620000213384628,0.07706362009048462,0.13526304066181183,Moderate Drift,0.6329113924050633,0.6329113924050633,0.3671
Electric Vehicles,2026-01-31,Stable,0.08669999986886978,0.04057389497756958,0.13272725045681,Stable,0.5443037974683544,0.5434263336637364,0.4557
Space Exploration,2026-01-31,Stable,0.10080000013113022,0.06806337833404541,0.13353610038757324,Moderate Drift,0.6075949367088608,0.603021006879338,0.3924
