topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-27,Stable,0.09269999712705612,0.05563211441040039,0.12982505559921265,Moderate Drift,0.6075949367088608,0.6072174426604806,0.3924
Climate Change,2026-01-27,Stable,0.09489999711513519,0.05828428268432617,0.13143706321716309,Moderate Drift,0.6455696202531646,0.6454560207724765,0.3544
Cryptocurrency,2026-01-27,Stable,0.09749999642372131,0.06557947397232056,0.12933290004730225,Moderate Drift,0.6455696202531646,0.6423641775422759,0.3544
Elections,2026-01-27,Stable,0.11569999903440475,0.09839189052581787,0.13306836783885956,Stable,0.5822784810126582,0.5822784810126582,0.4177
Electric Vehicles,2026-01-27,Stable,0.09019999951124191,0.047165513038635254,0.1333254873752594,Stable,0.5949367088607594,0.5912733457626009,0.4051
Space Exploration,2026-01-27,Stable,0.09809999912977219,0.06375402212142944,0.13244332373142242,Stable,0.5822784810126582,0.5818766325095438,0.4177
