topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-05,Stable,0.08609999716281891,0.04101908206939697,0.13123928010463715,Stable,0.5316455696202531,0.530742717706268,0.4684
Climate Change,2026-01-05,Stable,0.09210000187158585,0.05073350667953491,0.13351655006408691,Stable,0.5189873417721519,0.5188331710483609,0.481
Cryptocurrency,2026-01-05,Stable,0.09070000052452087,0.052631258964538574,0.1287730485200882,Moderate Drift,0.620253164556962,0.6190313278920874,0.3797
Elections,2026-01-05,Stable,0.12680000066757202,0.11738258600234985,0.1362263709306717,Moderate Drift,0.7215189873417721,0.7174502712477396,0.2785
Electric Vehicles,2026-01-05,Stable,0.09359999746084213,0.053781747817993164,0.13348934054374695,Moderate Drift,0.6962025316455697,0.69473632764772,0.3038
Space Exploration,2026-01-05,Stable,0.09719999879598618,0.061434805393218994,0.13287422060966492,Moderate Drift,0.6835443037974683,0.681402299085058,0.3165
