topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-12-14,Stable,0.08510000258684158,0.04008001089096069,0.13016332685947418,Stable,0.5063291139240507,0.5029875865726905,0.4937
Climate Change,2025-12-14,Stable,0.09350000321865082,0.05525261163711548,0.1316613405942917,Stable,0.569620253164557,0.5687915373490844,0.4304
Cryptocurrency,2025-12-14,Stable,0.08139999955892563,0.03405648469924927,0.12883208692073822,Stable,0.569620253164557,0.5657279298727635,0.4304
Elections,2025-12-14,Stable,0.10890000313520432,0.08425509929656982,0.13355454802513123,Stable,0.5949367088607594,0.5827954837310919,0.4051
Electric Vehicles,2025-12-14,Stable,0.08579999953508377,0.04003417491912842,0.1315954327583313,Stable,0.5569620253164557,0.556107976208632,0.443
Space Exploration,2025-12-14,Stable,0.10029999911785126,0.06726783514022827,0.1332516372203827,Moderate Drift,0.6075949367088608,0.6063341975496924,0.3924
