topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-20,Stable,0.09120000153779984,0.05008572340011597,0.1323663592338562,Stable,0.5949367088607594,0.5941567410344324,0.4051
Climate Change,2026-01-20,Stable,0.01860000006854534,0.009519636631011963,0.02761026844382286,Stable,0.16455696202531644,0.16428919182083737,0.8354
Cryptocurrency,2026-01-20,Stable,0.09589999914169312,0.061641156673431396,0.13013146817684174,Moderate Drift,0.6582278481012658,0.6565754444659778,0.3418
Elections,2026-01-20,Stable,0.10540000349283218,0.07662135362625122,0.13415610790252686,Stable,0.5822784810126582,0.5794510347922766,0.4177
Electric Vehicles,2026-01-20,Stable,0.08829999715089798,0.043408334255218506,0.13321784138679504,Stable,0.5822784810126582,0.5818766325095438,0.4177
Space Exploration,2026-01-20,Stable,0.019500000402331352,0.010233879089355469,0.02884594537317753,Stable,0.26582278481012656,0.26582278481012656,0.7342
