topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-12-19,Stable,0.08659999817609787,0.04136377573013306,0.13187123835086823,Moderate Drift,0.6455696202531646,0.6455696202531646,0.3544
Climate Change,2025-12-19,Stable,0.09380000084638596,0.05591273307800293,0.1317138969898224,Stable,0.5569620253164557,0.5548200206040453,0.443
Cryptocurrency,2025-12-19,Stable,0.08760000020265579,0.045672476291656494,0.12957681715488434,Moderate Drift,0.6835443037974683,0.6834428269027425,0.3165
Elections,2025-12-19,Stable,0.10809999704360962,0.08164286613464355,0.13450638949871063,Moderate Drift,0.7341772151898734,0.7340919745983037,0.2658
Electric Vehicles,2025-12-19,Stable,0.08919999748468399,0.045536041259765625,0.13277050852775574,Stable,0.46835443037974683,0.46784257649371963,0.5316
Space Exploration,2025-12-19,Stable,0.11050000041723251,0.0876779556274414,0.13329903781414032,Stable,0.4810126582278481,0.4793452290173352,0.519
