topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-11-18,Stable,0.08730000257492065,0.04227805137634277,0.13229699432849884,Stable,0.5949367088607594,0.5949367088607594,0.4051
Climate Change,2025-11-18,Stable,0.08810000121593475,0.042393267154693604,0.13389477133750916,Moderate Drift,0.620253164556962,0.6201314508276533,0.3797
Cryptocurrency,2025-11-18,Stable,0.08579999953508377,0.044352591037750244,0.12727868556976318,Stable,0.5822784810126582,0.580936403843221,0.4177
Elections,2025-11-18,Stable,0.10409999638795853,0.0744890570640564,0.1336771845817566,Stable,0.5189873417721519,0.5188331710483609,0.481
Electric Vehicles,2025-11-18,Stable,0.09399999678134918,0.05625087022781372,0.13166667520999908,Stable,0.5063291139240507,0.5061708099682783,0.4937
Space Exploration,2025-11-18,Stable,0.10239999741315842,0.07240629196166992,0.13236285746097565,Stable,0.5949367088607594,0.594546724947596,0.4051
