topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-01,Stable,0.0885000005364418,0.04511958360671997,0.13188067078590393,Moderate Drift,0.6455696202531646,0.6448871484051283,0.3544
Climate Change,2026-01-01,Stable,0.10180000215768814,0.07019639015197754,0.1334613561630249,Moderate Drift,0.620253164556962,0.620253164556962,0.3797
Cryptocurrency,2026-01-01,Stable,0.0835999995470047,0.03832840919494629,0.1288362592458725,Stable,0.5316455696202531,0.5261863630495325,0.4684
Elections,2026-01-01,Stable,0.12309999763965607,0.11014819145202637,0.13607659935951233,Moderate Drift,0.7341772151898734,0.7340919745983037,0.2658
Electric Vehicles,2026-01-01,Stable,0.10140000283718109,0.06895560026168823,0.1338028907775879,Stable,0.5443037974683544,0.5412128348542832,0.4557
Space Exploration,2026-01-01,Stable,0.10130000114440918,0.070706307888031,0.13183102011680603,Moderate Drift,0.6835443037974683,0.6832398731132908,0.3165
