topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-21,Stable,0.09160000085830688,0.05056077241897583,0.1325434446334839,Moderate Drift,0.620253164556962,0.6201314508276533,0.3797
Climate Change,2026-01-21,Stable,0.09539999812841415,0.056644320487976074,0.1342131495475769,Stable,0.5822784810126582,0.5822784810126582,0.4177
Cryptocurrency,2026-01-21,Stable,0.08900000154972076,0.04797083139419556,0.1300445944070816,Stable,0.5569620253164557,0.5569620253164557,0.443
Elections,2026-01-21,Stable,0.10939999669790268,0.08521020412445068,0.13358774781227112,Moderate Drift,0.7088607594936709,0.708767400750523,0.2911
Electric Vehicles,2026-01-21,Stable,0.08389999717473984,0.03629410266876221,0.13141188025474548,Stable,0.4810126582278481,0.48084623612049776,0.519
Space Exploration,2026-01-21,Stable,0.0982000008225441,0.06225162744522095,0.13405819237232208,Stable,0.569620253164557,0.5657279298727635,0.4304
