topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-11-27,Stable,0.08839999884366989,0.04620993137359619,0.1306544542312622,Moderate Drift,0.6708860759493671,0.66929768828503,0.3291
Climate Change,2025-11-27,Stable,0.08919999748468399,0.04566103219985962,0.13283805549144745,Stable,0.5949367088607594,0.594546724947596,0.4051
Cryptocurrency,2025-11-27,Stable,0.08460000157356262,0.04487878084182739,0.12431337684392929,Moderate Drift,0.6455696202531646,0.6448871484051283,0.3544
Elections,2025-11-27,Stable,0.12120000272989273,0.10773497819900513,0.13464677333831787,Moderate Drift,0.6962025316455697,0.6962025316455697,0.3038
Electric Vehicles,2025-11-27,Stable,0.09179999679327011,0.05109250545501709,0.13241662085056305,Stable,0.5443037974683544,0.5376458984053921,0.4557
Space Exploration,2025-11-27,Stable,0.10540000349283218,0.0763164758682251,0.13455185294151306,Stable,0.5949367088607594,0.5921891865371407,0.4051
