topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-30,Stable,0.08609999716281891,0.04184842109680176,0.1302945613861084,Stable,0.5443037974683544,0.54210449147158,0.4557
Climate Change,2026-01-30,Stable,0.0940999984741211,0.055542826652526855,0.13269034028053284,Moderate Drift,0.6075949367088608,0.6049388508654718,0.3924
Cryptocurrency,2026-01-30,Stable,0.1080000028014183,0.0886569619178772,0.12742413580417633,Moderate Drift,0.7088607594936709,0.708767400750523,0.2911
Elections,2026-01-30,Stable,0.11089999973773956,0.08871471881866455,0.133042573928833,Moderate Drift,0.6962025316455697,0.6961051606621227,0.3038
Electric Vehicles,2026-01-30,Stable,0.08900000154972076,0.044376373291015625,0.13363097608089447,Stable,0.4936708860759494,0.4936708860759494,0.5063
Space Exploration,2026-01-30,Stable,0.10490000247955322,0.0756184458732605,0.13420316576957703,Stable,0.5316455696202531,0.5301408164302781,0.4684
