topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-12-18,Stable,0.0843999981880188,0.03716796636581421,0.13165265321731567,Stable,0.5443037974683544,0.5443037974683544,0.4557
Climate Change,2025-12-18,Stable,0.09030000120401382,0.047219157218933105,0.1333014965057373,Moderate Drift,0.6455696202531646,0.6448871484051283,0.3544
Cryptocurrency,2025-12-18,Stable,0.08190000057220459,0.0362551212310791,0.12757186591625214,Moderate Drift,0.6582278481012658,0.6571297849626353,0.3418
Elections,2025-12-18,Stable,0.1128000020980835,0.09067291021347046,0.134922593832016,Moderate Drift,0.6835443037974683,0.6825275786691068,0.3165
Electric Vehicles,2025-12-18,Stable,0.08399999886751175,0.036577701568603516,0.13145804405212402,Stable,0.569620253164557,0.569620253164557,0.4304
Space Exploration,2025-12-18,Stable,0.10750000178813934,0.08364659547805786,0.13139596581459045,Stable,0.4810126582278481,0.48084623612049776,0.519
