topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-12-29,Stable,0.09290000051259995,0.05319929122924805,0.13250508904457092,Moderate Drift,0.6329113924050633,0.6322037517157236,0.3671
Climate Change,2025-12-29,Stable,0.09059999883174896,0.04812920093536377,0.1331096887588501,Moderate Drift,0.6455696202531646,0.6452283843291465,0.3544
Cryptocurrency,2025-12-29,Stable,0.0794999971985817,0.03034961223602295,0.12856227159500122,Moderate Drift,0.6075949367088608,0.6072174426604806,0.3924
Elections,2025-12-29,Stable,0.12430000305175781,0.11526274681091309,0.1333947628736496,Moderate Drift,0.6075949367088608,0.6068384932133597,0.3924
Electric Vehicles,2025-12-29,Stable,0.08959999680519104,0.047195255756378174,0.1320830136537552,Stable,0.5949367088607594,0.5921891865371407,0.4051
Space Exploration,2025-12-29,Stable,0.10750000178813934,0.08200931549072266,0.13306692242622375,Stable,0.5822784810126582,0.5818766325095438,0.4177
