topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-11-09,Stable,0.09749999642372131,0.06466448307037354,0.13040967285633087,Moderate Drift,0.6329113924050633,0.6286325548226066,0.3506
Climate Change,2025-11-09,Stable,0.0940999984741211,0.0583266019821167,0.12990286946296692,Moderate Drift,0.6329113924050633,0.6304266669386672,0.3452
Cryptocurrency,2025-11-09,Stable,0.09430000185966492,0.06200927495956421,0.1266014575958252,Moderate Drift,0.6835443037974683,0.6829342687204514,0.2727
Elections,2025-11-09,Stable,0.08919999748468399,0.045736491680145264,0.1327529400587082,Stable,0.5189873417721519,0.5180611299783884,0.4755
Electric Vehicles,2025-11-09,Stable,0.08160000294446945,0.03173941373825073,0.1315058171749115,Stable,0.4810126582278481,0.4800122007015404,0.4698
Space Exploration,2025-11-09,Stable,0.094200000166893,0.05797487497329712,0.13047730922698975,Stable,0.3924050632911392,0.39221032132424544,0.553
