topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2026-01-29,Stable,0.08990000188350677,0.04792821407318115,0.1318909227848053,Stable,0.5949367088607594,0.5912733457626009,0.4051
Climate Change,2026-01-29,Stable,0.09849999845027924,0.06404119729995728,0.13291054964065552,Stable,0.5569620253164557,0.5569620253164557,0.443
Cryptocurrency,2026-01-29,Stable,0.08860000222921371,0.04840642213821411,0.12878826260566711,Stable,0.569620253164557,0.5682355049443657,0.4304
Elections,2026-01-29,Stable,0.11869999766349792,0.10395574569702148,0.133443221449852,Moderate Drift,0.7088607594936709,0.708767400750523,0.2911
Electric Vehicles,2026-01-29,Stable,0.09839999675750732,0.06390690803527832,0.13285747170448303,Moderate Drift,0.6455696202531646,0.6448871484051283,0.3544
Space Exploration,2026-01-29,Stable,0.10649999976158142,0.08026689291000366,0.13271956145763397,Stable,0.5822784810126582,0.58214453151162,0.4177
