topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-12-03,Stable,0.0843999981880188,0.03736180067062378,0.13152119517326355,Stable,0.46835443037974683,0.45688756515264334,0.5316
Climate Change,2025-12-03,Stable,0.10109999775886536,0.06810468435287476,0.1340930461883545,Moderate Drift,0.7088607594936709,0.7079253723755783,0.2911
Cryptocurrency,2025-12-03,Stable,0.08879999816417694,0.04822033643722534,0.12942209839820862,Moderate Drift,0.6455696202531646,0.6452283843291465,0.3544
Elections,2025-12-03,Stable,0.11389999836683273,0.09232872724533081,0.13542161881923676,Moderate Drift,0.6708860759493671,0.6702523520904763,0.3291
Electric Vehicles,2025-12-03,Stable,0.08649999648332596,0.038573503494262695,0.1343965232372284,Stable,0.569620253164557,0.5657279298727635,0.4304
Space Exploration,2025-12-03,Stable,0.09780000150203705,0.06301844120025635,0.13266807794570923,Moderate Drift,0.6075949367088608,0.6063341975496924,0.3924
