topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-12-04,Stable,0.08860000222921371,0.044845521450042725,0.1324152648448944,Stable,0.569620253164557,0.5657279298727635,0.4304
Climate Change,2025-12-04,Stable,0.08630000054836273,0.03997987508773804,0.13258782029151917,Stable,0.569620253164557,0.5645898405392077,0.4304
Cryptocurrency,2025-12-04,Stable,0.08250000327825546,0.03537857532501221,0.1295241117477417,Stable,0.4936708860759494,0.49318340618449485,0.5063
Elections,2025-12-04,Stable,0.10369999706745148,0.0719720721244812,0.13546650111675262,Moderate Drift,0.6455696202531646,0.6455696202531646,0.3544
Electric Vehicles,2025-12-04,Stable,0.08659999817609787,0.038582682609558105,0.13464361429214478,Stable,0.5063291139240507,0.5058542020567337,0.4937
Space Exploration,2025-12-04,Stable,0.09040000289678574,0.04783660173416138,0.13299915194511414,Stable,0.4936708860759494,0.4912272127462001,0.5063
