topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-11-29,Stable,0.08630000054836273,0.042546749114990234,0.13003982603549957,Moderate Drift,0.6708860759493671,0.6705692140199216,0.3291
Climate Change,2025-11-29,Stable,0.09369999915361404,0.05545419454574585,0.13191775977611542,Stable,0.4430379746835443,0.4430379746835443,0.557
Cryptocurrency,2025-11-29,Stable,0.08179999887943268,0.037976622581481934,0.12567777931690216,Moderate Drift,0.6455696202531646,0.6452283843291465,0.3544
Elections,2025-11-29,Stable,0.10570000112056732,0.07768326997756958,0.13376328349113464,Moderate Drift,0.6075949367088608,0.6075949367088608,0.3924
Electric Vehicles,2025-11-29,Stable,0.08760000020265579,0.043838441371917725,0.13141241669654846,Stable,0.4430379746835443,0.44250174680294435,0.557
Space Exploration,2025-11-29,Stable,0.1005999967455864,0.06748521327972412,0.1336350291967392,Moderate Drift,0.6582278481012658,0.6581182530549619,0.3418
