topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-12-14,Stable,0.08829999715089798,0.04516547918319702,0.13141071796417236,Stable,0.5443037974683544,0.5412128348542832,0.4557
Climate Change,2025-12-14,Stable,0.09350000321865082,0.053922295570373535,0.1331760585308075,Stable,0.4936708860759494,0.4936708860759494,0.5063
Cryptocurrency,2025-12-14,Stable,0.08389999717473984,0.03975796699523926,0.12802168726921082,Moderate Drift,0.620253164556962,0.620253164556962,0.3797
Elections,2025-12-14,Stable,0.10750000178813934,0.08133459091186523,0.13364830613136292,Stable,0.5949367088607594,0.5929817701969601,0.4051
Electric Vehicles,2025-12-14,Stable,0.08420000225305557,0.035709261894226074,0.13277509808540344,Stable,0.5443037974683544,0.5376458984053921,0.4557
Space Exploration,2025-12-14,Stable,0.1014999970793724,0.07019484043121338,0.13272880017757416,Stable,0.569620253164557,0.5675431308342701,0.4304
