topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-11-11,Stable,0.1006,0.06998473011506567,0.13121476769447327,Moderate Drift,0.6455696202531646,0.6444292393659482,0.3544
Climate Change,2025-11-11,Stable,0.0913,0.05089861200583523,0.1317766308784485,Stable,0.569620253164557,0.5657279298727635,0.4304
Cryptocurrency,2025-11-11,Stable,0.086,0.041841601229930414,0.13016068935394287,Moderate Drift,0.620253164556962,0.6147049153378267,0.3688
Elections,2025-11-11,Stable,0.1109,0.08525051316664689,0.1365162879228592,Moderate Drift,0.620253164556962,0.6195219447197803,0.3797
Electric Vehicles,2025-11-11,Stable,0.0897,0.0486058528429536,0.13072016835212708,Stable,0.5063291139240507,0.500574815106264,0.4882
Space Exploration,2025-11-11,Stable,0.1048,0.07485689511942328,0.1347564458847046,Stable,0.5949367088607594,0.5948068808828303,0.3887
