topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-11-20,Stable,0.08470000326633453,0.037219107151031494,0.13211731612682343,Moderate Drift,0.6075949367088608,0.6049388508654718,0.3924
Climate Change,2025-11-20,Stable,0.08980000019073486,0.045840680599212646,0.13380806148052216,Stable,0.5189873417721519,0.5146370980930887,0.481
Cryptocurrency,2025-11-20,Stable,0.08219999819993973,0.035745084285736084,0.12857189774513245,Moderate Drift,0.6075949367088608,0.6075949367088608,0.3924
Elections,2025-11-20,Stable,0.10029999911785126,0.06685787439346313,0.1336720585823059,Moderate Drift,0.6075949367088608,0.6075949367088608,0.3924
Electric Vehicles,2025-11-20,Stable,0.10249999910593033,0.07237511873245239,0.13259373605251312,Moderate Drift,0.620253164556962,0.620253164556962,0.3797
Space Exploration,2025-11-20,Stable,0.10080000013113022,0.06608039140701294,0.13552948832511902,Stable,0.569620253164557,0.5687915373490844,0.4304
