topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-12-08,Stable,0.08820000290870667,0.04443615674972534,0.13191494345664978,Stable,0.5063291139240507,0.5063291139240507,0.4937
Climate Change,2025-12-08,Stable,0.09730000048875809,0.0619775652885437,0.13254934549331665,Moderate Drift,0.6329113924050633,0.6327936792071813,0.3671
Cryptocurrency,2025-12-08,Stable,0.08640000224113464,0.04673963785171509,0.12614896893501282,Moderate Drift,0.6455696202531646,0.64385904892234,0.3544
Elections,2025-12-08,Stable,0.11060000211000443,0.08630800247192383,0.1348227560520172,Moderate Drift,0.6962025316455697,0.6956175557758242,0.3038
Electric Vehicles,2025-12-08,Stable,0.08479999750852585,0.03791403770446777,0.13169389963150024,Stable,0.5189873417721519,0.51666585210889,0.481
Space Exploration,2025-12-08,Stable,0.10109999775886536,0.06882941722869873,0.1334596574306488,Stable,0.45569620253164556,0.4555216622727171,0.5443
