topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-12-02,Stable,0.08590000122785568,0.040426433086395264,0.1312844455242157,Moderate Drift,0.6329113924050633,0.6325582528114173,0.3671
Climate Change,2025-12-02,Stable,0.09839999675750732,0.06273061037063599,0.13411182165145874,Stable,0.5189873417721519,0.5188331710483609,0.481
Cryptocurrency,2025-12-02,Stable,0.0778999999165535,0.02884674072265625,0.12692078948020935,Stable,0.5443037974683544,0.5434263336637364,0.4557
Elections,2025-12-02,Stable,0.11159999668598175,0.08899301290512085,0.13417749106884003,Moderate Drift,0.620253164556962,0.620253164556962,0.3797
Electric Vehicles,2025-12-02,Stable,0.0885000005364418,0.0448799729347229,0.1320999562740326,Stable,0.5189873417721519,0.5180611299783884,0.481
Space Exploration,2025-12-02,Stable,0.0940999984741211,0.05492269992828369,0.133360356092453,Stable,0.569620253164557,0.5687915373490844,0.4304
