topic,date,semantic_status,semantic_score,cosine_drift,jsd_drift,concept_status,test_acc,test_f1,accuracy_drop
Artificial Intelligence,2025-11-21,Stable,0.08649999648332596,0.041824519634246826,0.1310814619064331,Stable,0.5949367088607594,0.5936334164182265,0.4051
Climate Change,2025-11-21,Stable,0.0892999991774559,0.04650115966796875,0.13204270601272583,Stable,0.45569620253164556,0.45569620253164556,0.5443
Cryptocurrency,2025-11-21,Stable,0.08399999886751175,0.039896607398986816,0.12803366780281067,Stable,0.5949367088607594,0.5949367088607594,0.4051
Elections,2025-11-21,Stable,0.10679999738931656,0.07758265733718872,0.135925754904747,Moderate Drift,0.6410256410256411,0.638888888888889,0.359
Electric Vehicles,2025-11-21,Stable,0.0869000032544136,0.04033315181732178,0.1335420161485672,Stable,0.5569620253164557,0.5569620253164557,0.443
Space Exploration,2025-11-21,Stable,0.09910000115633011,0.06610888242721558,0.132160484790802,Stable,0.5822784810126582,0.580936403843221,0.4177
